Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Devi Dasa Shloka Stuti,Sounds of Isha,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,5,437003,437.003,7.283383333,FALSE,31,sound,0.709,0.296,7,-12.463,1,0.0303,0.384,4.17E-05,0.102,0.156,135.033,5,Tamil
Thunbam Illadha Nilaiye Shakti,Sounds of Isha,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,6,203024,203.024,3.383733333,FALSE,29,sound,0.679,0.452,5,-9.214,1,0.0478,0.147,1.71E-06,0.106,0.468,149.974,3,Tamil
Prata Stuve Para Shivam Bhairavi,Sounds of Isha,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,7,218515,218.515,3.641916667,FALSE,28,sound,0.52,0.406,7,-9.195,1,0.0343,0.386,0,0.107,0.245,168.036,4,Tamil
Jaago Bhairavi,Sounds of Isha,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,8,449019,449.019,7.48365,FALSE,31,sound,0.278,0.0932,3,-11.423,1,0.0347,0.76,0,0.111,0.157,72.844,4,Tamil
Bhagavati Stuti,Sounds of Isha,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,9,329509,329.509,5.491816667,FALSE,28,sound,0.483,0.469,5,-10.33,0,0.0393,0.17,0,0.119,0.421,177.874,3,Tamil
Vidyarambham Chant,Sadhguru,"Triveni: Durga, Lakshmi, Saraswati","Sounds of Isha, Sadhguru",27-09-2016,2016,1,10,133016,133.016,2.216933333,FALSE,29,Unknown,0.329,0.127,7,-9.968,1,0.0299,0.629,0.00846,0.116,0.0399,110.924,3,Tamil
Annai Magamaayi,Nithyasree Mahadevan,Annai Magamaayi,Nithyasree Mahadevan,23-07-2019,2019,1,1,306429,306.429,5.10715,FALSE,14,"carnatic,carnatic vocal,filmi,indian classical",0.685,0.903,4,-4.522,1,0.0527,0.184,0,0.335,0.87,134.927,4,Tamil
Sri Lalita Sahasranamam,T. S. Ranganathan,Sri Vishnu Sahasranamam - Sri Lalita Sahasranamam,T. S. Ranganathan,1992,1992,1,2,1818096,1818.096,30.3016,FALSE,0,tamil devotional,0.478,0.169,3,-16.007,1,0.0895,0.876,0,0.0894,0.352,91.095,1,Tamil
Kandha Sashti Kavacham,Mahanadhi Shobana,Suprabatham Kandha Sashti Kavacham,"Gopika Poornima, Mahanadhi Shobana",01-01-2005,2005,1,2,1379106,1379.106,22.9851,FALSE,15,tamil devotional,0.817,0.42,0,-9.111,1,0.0421,0.832,0,0.107,0.776,116.938,4,Tamil
Yogi Shiva Mahadev (Tamil),"Sounds of Isha, Karthik",Yogi Shiva Mahadev (Tamil),Sounds of Isha,25-02-2019,2019,1,1,157695,157.695,2.62825,FALSE,21,"sound,filmi,tamil pop",0.696,0.775,0,-8.765,1,0.0316,0.273,1.34E-06,0.113,0.678,96.964,4,Tamil
Sabari Malai Naayaga,"Kash Villanz\,Kajen Villanz",Kottai Karuppu,"Kash Villanz\,Kajen Villanz",22-01-2016,2016,1,3,228291,228.291,3.80485,FALSE,12,Unknown,0.456,0.944,0,-5.164,0,0.406,0.238,0,0.332,0.309,68.607,4,Tamil
Pallikattu Sabarimalaikku,Veeramani Raju,Aiyappa Iniya Geetangal,Veeramani Raju,1988,1988,1,22,358739,358.739,5.978983333,FALSE,0,tamil devotional,0.468,0.566,2,-9.002,0,0.0454,0.86,0,0.522,0.479,85.185,4,Tamil
Ayappan Padipaatu,Veeramani Raju,Kallum Mullum,Various Artists,02-06-2016,2016,1,11,323173,323.173,5.386216667,FALSE,32,tamil devotional,0.521,0.749,2,-4.538,1,0.164,0.359,0,0.398,0.877,159.818,4,Tamil
Skanda Sashti Kavacham,Rajalakshmee Sanjay,Skanda Sashti Kavacham,Rajalakshmee Sanjay,2014,2014,1,1,1226341,1226.341,20.43901667,FALSE,9,mantra,0.881,0.793,9,-5.993,0,0.0425,0.388,0,0.0778,0.92,123.003,4,Tamil
Sri Venkateswara Suprabhatam,S. P. Balasubrahmanyam,Sri Venkateswara Suprabhatam,S. P. Balasubrahmanyam,17-11-2016,2016,1,1,1393392,1393.392,23.2232,FALSE,0,filmi,0.581,0.59,2,-6.619,1,0.0892,0.844,0,0.0843,0.616,77.513,3,Tamil
Amman Tamil Devotional,Pradeep Swaminathan,Indian Devotional Songs,"Pradeep Swaminathan\, Bharathiar & Avvaiyar",14-08-2011,2011,1,1,301333,301.333,5.022216667,FALSE,0,Unknown,0.505,0.576,11,-4.022,1,0.0353,0.213,0,0.121,0.613,89.704,4,Tamil
Chinnanchiru,"G.Sivachidambaram, T.R.Papa, Ilamkamban",Murugan Songs Tamil Devotional,G.Sivachidambaram,31-12-1983,1983,1,2,176013,176.013,2.93355,FALSE,0,Unknown,0.499,0.166,11,-12.146,1,0.0317,0.986,5.84E-05,0.218,0.681,103.451,4,Tamil
Vigneshwara - Virutham,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,1,51400,51.4,0.856666667,FALSE,1,"classic kollywood,filmi",0.5,0.242,7,-4.746,1,0.0402,0.966,0,0.0653,0.727,48.658,4,Tamil
Uravendru,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,2,267000,267,4.45,FALSE,1,"classic kollywood,filmi",0.527,0.553,0,-5.945,1,0.103,0.764,9.24E-05,0.462,0.891,167.199,3,Tamil
Aiyai Sakthi Nee,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,3,237933,237.933,3.96555,FALSE,1,"classic kollywood,filmi",0.379,0.555,4,-5.374,0,0.0965,0.715,6.69E-06,0.0941,0.856,185.861,4,Tamil
Mangadu Kovilile,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,4,238920,238.92,3.982,FALSE,1,"classic kollywood,filmi",0.498,0.566,5,-5.525,0,0.125,0.778,0.000144,0.536,0.904,176.649,4,Tamil
Alavai Nagar,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,5,290640,290.64,4.844,FALSE,1,"classic kollywood,filmi",0.533,0.624,7,-5.355,1,0.0706,0.697,6.04E-05,0.142,0.894,80.603,4,Tamil
Selathil,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,6,253226,253.226,4.220433333,FALSE,1,"classic kollywood,filmi",0.352,0.74,5,-4.145,1,0.0504,0.671,0.00032,0.603,0.967,193.778,4,Tamil
Arul Vellame,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,7,323786,323.786,5.396433333,FALSE,1,"classic kollywood,filmi",0.43,0.692,10,-3.745,1,0.0804,0.733,9.05E-05,0.248,0.931,179.762,4,Tamil
Kotravai Kali,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,8,215453,215.453,3.590883333,FALSE,2,"classic kollywood,filmi",0.46,0.831,5,-3.564,1,0.199,0.692,0.00088,0.435,0.967,191.111,4,Tamil
Mangala Roopini,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,9,250000,250,4.166666667,FALSE,1,"classic kollywood,filmi",0.565,0.555,5,-4.86,1,0.0498,0.889,4.76E-05,0.786,0.917,102.528,4,Tamil
Veppilaikari,Vani Jairam,Arulmigu Amman,Vani Jairam,28-09-2006,2006,1,11,227960,227.96,3.799333333,FALSE,1,"classic kollywood,filmi",0.656,0.666,5,-4.531,1,0.0446,0.798,0.000943,0.543,0.901,99.932,4,Tamil
Om Sakthi Om Sakthi,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,1,377666,377.666,6.294433333,FALSE,22,"filmi,tamil pop",0.565,0.811,6,-7.589,0,0.0443,0.299,0,0.105,0.844,90.898,4,Tamil
Angala Eswariyae,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,2,555466,555.466,9.257766667,FALSE,4,"filmi,tamil pop",0.443,0.684,9,-7.793,1,0.075,0.358,0.000162,0.131,0.647,102.592,1,Tamil
Vinnodu Vilayadum,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,3,259200,259.2,4.32,FALSE,2,"filmi,tamil pop",0.493,0.695,3,-9.367,0,0.0682,0.193,0,0.0712,0.958,173.501,4,Tamil
Thunai varuvai,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,4,422360,422.36,7.039333333,FALSE,2,"filmi,tamil pop",0.44,0.809,5,-6.758,0,0.0457,0.436,3.56E-06,0.34,0.868,168.808,4,Tamil
Thiruvakaraiyil,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,5,267546,267.546,4.4591,FALSE,2,"filmi,tamil pop",0.694,0.686,0,-7.296,0,0.0522,0.546,0.0058,0.287,0.714,119.911,4,Tamil
Devi Karumari,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,6,321640,321.64,5.360666667,FALSE,5,"filmi,tamil pop",0.412,0.633,1,-8.437,0,0.0353,0.487,0,0.305,0.921,167.793,4,Tamil
Kotharai Aathankarailae,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,7,256986,256.986,4.2831,FALSE,2,"filmi,tamil pop",0.555,0.736,10,-10.488,1,0.0631,0.228,0.0025,0.151,0.957,113.785,4,Tamil
Punnai Nallur Mariyamma,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,8,324160,324.16,5.402666667,FALSE,2,"filmi,tamil pop",0.575,0.604,3,-10.168,0,0.0817,0.0979,2.11E-06,0.342,0.808,82.221,4,Tamil
Aatha Kovil Konda,Unnikrishnan,Amman Arul,Unnikrishnan,1998,1998,1,9,303933,303.933,5.06555,FALSE,2,"filmi,tamil pop",0.632,0.716,10,-9.688,1,0.053,0.215,2.62E-06,0.193,0.924,154.901,3,Tamil
Mahishasura Mardhini,Bombay Sisters,Mahishasura Mardhini,L. Krishnan,01-01-1980,1980,1,6,976326,976.326,16.2721,FALSE,0,"carnatic,carnatic vocal,indian classical,tamil devotional",0.801,0.453,0,-7.271,1,0.331,0.895,0,0.296,0.322,113.214,4,Tamil
Kaamakshi Amba,P. Susheela,Magamaayi Thirisooli Amman Songs,"P. Susheela, Soolamangalam Sisters",15-01-1996,1996,1,1,238813,238.813,3.980216667,FALSE,1,"classic tollywood,filmi",0.687,0.472,10,-5.301,0,0.0458,0.521,0,0.316,0.832,103.615,4,Tamil
Aathiparameswariyin,P. Susheela,Magamaayi Thirisooli Amman Songs,"P. Susheela, Soolamangalam Sisters",15-01-1996,1996,1,2,192786,192.786,3.2131,FALSE,0,"classic tollywood,filmi",0.319,0.545,7,-12.502,1,0.0465,0.954,0.000984,0.285,0.576,144.114,3,Tamil
Chandi Sri Chandi,Soolamangalam Sisters,Magamaayi Thirisooli Amman Songs,"P. Susheela, Soolamangalam Sisters",15-01-1996,1996,1,3,260133,260.133,4.33555,FALSE,3,"carnatic vocal,indian classical",0.436,0.657,7,-9.245,1,0.108,0.916,0,0.169,0.664,84.975,4,Tamil
Oonjal Song,Sakthi Illathu Amman,Sakthi Illathu Amman Songs,Sakthi Illathu Amman,01-01-2021,2021,1,2,575250,575.25,9.5875,FALSE,4,tamil devotional,0.618,0.346,0,-8.225,1,0.0393,0.719,0,0.122,0.367,150.151,3,Tamil
Kungumathu,Sakthi Illathu Amman,Sakthi Illathu Amman Songs,Sakthi Illathu Amman,01-01-2021,2021,1,3,366000,366,6.1,FALSE,3,tamil devotional,0.725,0.696,11,-5.709,0,0.0352,0.563,0,0.0831,0.715,90.057,4,Tamil
Udukkai Pambai - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,1,272106,272.106,4.5351,FALSE,26,classic kollywood,0.68,0.666,9,-6.139,0,0.0404,0.428,0,0.114,0.918,102.149,4,Tamil
Om Endraal - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,2,326666,326.666,5.444433333,FALSE,5,classic kollywood,0.643,0.739,9,-6.282,0,0.0806,0.379,0,0.353,0.767,103.16,4,Tamil
Pathinaaru Padimeethu - Language: Tamil; Genre: Amman,T. L. Maharajan,Aayiram Kann Pothaathamma,T. L. Maharajan,01-01-1996,1996,1,3,336453,336.453,5.60755,FALSE,4,classic kollywood,0.62,0.579,7,-6.495,1,0.0437,0.472,0,0.0528,0.836,163.167,5,Tamil
