Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Nanak Naam Jahaaz Hai,"Simiran Kaur Dhadli, Jaskirat Singh",Nanak Naam Jahaaz Hai,"Simiran Kaur Dhadli, Jaskirat Singh",07-11-2019,2019,1,1,145000,145,2.416666667,FALSE,28,"desi pop,punjabi pop",0.332,0.136,0,-13.355,0,0.0324,0.946,2.12E-06,0.129,0.252,99.28,4,Punjabi
Tere Rang Niyare,Nachhatar Gill,Ardaas Karaan,"Gippy Grewal, Jatinder Shah",10-08-2019,2019,1,2,295443,295.443,4.92405,FALSE,33,"bhangra,desi pop,punjabi pop",0.45,0.796,11,-7.133,0,0.214,0.553,0,0.0922,0.532,80.492,4,Punjabi
Bandeya,Devenderpal Singh,Ardaas Karaan,"Gippy Grewal, Jatinder Shah",10-08-2019,2019,1,7,208387,208.387,3.473116667,FALSE,29,Unknown,0.58,0.651,0,-6.679,1,0.0454,0.367,0,0.0563,0.463,145.905,4,Punjabi
Paigambar,Diljit Dosanjh,Paigambar,Diljit Dosanjh,23-11-2020,2020,1,1,409845,409.845,6.83075,FALSE,31,"desi pop,filmi,modern bollywood,punjabi pop",0.592,0.632,5,-6.999,0,0.0281,0.43,5.44E-06,0.183,0.264,89.967,4,Punjabi
Zafarnama - Fateh Di Chithi,"Bhai Mehal Singh Ji, Bhai Gurlal Singh Ji, Bhai Jugraj Singh Ji",Zafarnama - Fateh Di Chithi,"Bhai Mehal Singh Ji, Bhai Gurlal Singh Ji, Bhai Jugraj Singh Ji",25-12-2019,2019,1,1,563478,563.478,9.3913,FALSE,41,punjabi pop,0.566,0.868,6,0.016,0,0.17,0.161,0,0.39,0.653,137.986,1,Punjabi
Bade Chaava Naal,Amrinder Gill,Chaar Sahibzaade - Rise of Banda Singh Bahadur (Original Motion Picture Soundtrack),Various Artists,19-10-2016,2016,1,4,251294,251.294,4.188233333,FALSE,36,"bhangra,desi pop,punjabi pop",0.398,0.438,1,-3.984,1,0.0404,0.867,0,0.0933,0.299,72.859,1,Punjabi
Mittar Pyare Nu,Satinder Sartaaj,The Black Prince,Satinder Sartaaj,21-07-2017,2017,1,5,325829,325.829,5.430483333,FALSE,39,"desi hip hop,desi pop,punjabi pop,sufi",0.579,0.474,5,-8.093,1,0.0282,0.658,4.59E-05,0.0774,0.211,119.954,1,Punjabi
Ek Onkar,Asees Kaur,Ek Onkar - Zee Music Devotional,Raghav Sachar,02-03-2017,2017,1,1,132173,132.173,2.202883333,FALSE,40,"desi pop,filmi,modern bollywood",0.514,0.113,0,-18.474,1,0.0329,0.9,9.79E-05,0.159,0.135,137.739,4,Punjabi
Bol Waheguru,Kulwinder Billa,Bol Waheguru,Kulwinder Billa,19-05-2021,2021,1,1,367421,367.421,6.123683333,FALSE,20,"desi hip hop,desi pop,punjabi pop",0.429,0.561,4,-8.538,0,0.0427,0.408,0,0.0775,0.41,117.847,4,Punjabi
Ik Tera Sahara,Garry Sandhu,Ik Tera Sahara,Garry Sandhu,13-04-2013,2013,1,1,414000,414,6.9,FALSE,39,"desi pop,punjabi pop",0.696,0.69,10,-5.834,0,0.04,0.636,0,0.151,0.448,143.896,4,Punjabi
