Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Gajanana Shri Ganraya,Lata Mangeshkar,Ganapati Aarti By Lata Mangeshkar And Usha Mangeshkar,Various Artists,08-05-1980,1980,1,1,190400,190.4,3.173333333,FALSE,25,"classic bollywood,desi pop,filmi",0.496,0.399,7,-13.965,1,0.0486,0.981,0.932,0.36,0.813,89.063,4,Marathi
Shodhisi Manava Rauli Mandiri,Mohammed Rafi,Kavi Gaurav Vandana Vitankar,Various Artists,02-05-2012,2012,1,9,198213,198.213,3.30355,FALSE,22,"classic bollywood,classic tollywood,desi pop,filmi,sufi",0.613,0.439,6,-14.732,1,0.0368,0.974,0.847,0.162,0.886,127.933,4,Marathi
Sunder Te Dhyaan,"Shubhangi Joshi, Mahesh Hiremath",Abhang Tukayache,"Shubhangi Joshi, Mahesh Hiremath",09-01-2019,2019,1,3,192156,192.156,3.2026,FALSE,34,"marathi devotional,marathi devotional",0.558,0.505,6,-6.774,0,0.0288,0.647,0,0.126,0.427,104.887,4,Marathi
Anandache Dohi,"Anuradha Paudwal, Prahlad Shinde, Ajeet Kumar Kadkade, Anand Shinde",Amrutahuni God Vitthalachi Odh,Various Artists,04-07-1998,1998,1,3,178226,178.226,2.970433333,FALSE,25,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood,marathi devotional,marathi devotional,marathi pop",0.531,0.48,2,-13.409,0,0.033,0.831,0.00686,0.283,0.884,94.588,4,Marathi
Indrayani Kathi,Bhimsen Joshi,Gulacha Ganpati,"P L Deshpande, G.D. Madgulkar",31-12-1953,1953,1,2,394680,394.68,6.578,FALSE,32,"filmi,ghazal,hindustani classical,hindustani vocal,indian classical,khayal,marathi traditional",0.476,0.416,8,-14.3,1,0.0525,0.988,0.2,0.163,0.724,76.54,4,Marathi
Khel Mandiyela,"Shubhangi Joshi, Mahesh Hiremath",Abhang Tukayache,"Shubhangi Joshi, Mahesh Hiremath",09-01-2019,2019,1,4,208222,208.222,3.470366667,FALSE,22,"marathi devotional,marathi devotional",0.65,0.831,0,-4.357,1,0.0352,0.761,0,0.207,0.96,105.637,4,Marathi
Chunnuk Chunnuk Tal Vajavi,"Mahesh Hiremath, Shubhangi Joshi",Marathi Bhaktigeete,"Mahesh Hiremath, Shubhangi Joshi",18-02-2019,2019,1,1,400927,400.927,6.682116667,FALSE,29,"marathi devotional,marathi devotional",0.688,0.468,7,-7.599,1,0.0301,0.282,0,0.111,0.659,93.028,4,Marathi
Shree Manache Shlok. Pt. 1,Ravindra Sathe,Shri Manache Shlok (Sampurna),Ravindra Sathe,01-02-2000,2000,1,1,1352156,1352.156,22.53593333,FALSE,18,mantra,0.44,0.21,10,-12.778,1,0.0408,0.934,0,0.118,0.38,79.518,4,Marathi
Shree Manache Shlok. Pt. 2,Ravindra Sathe,Shri Manache Shlok (Sampurna),Ravindra Sathe,01-02-2000,2000,1,2,1362030,1362.03,22.7005,FALSE,15,mantra,0.431,0.183,10,-13.424,1,0.0407,0.917,0,0.138,0.352,79.318,4,Marathi
Shree Manache Shlok. Pt. 3,Ravindra Sathe,Shri Manache Shlok (Sampurna),Ravindra Sathe,01-02-2000,2000,1,3,1354743,1354.743,22.57905,FALSE,13,mantra,0.534,0.191,10,-11.766,1,0.0387,0.933,0,0.126,0.371,118.998,3,Marathi
