Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Tvamev Mata Cha Pita Tvamev Mantra,Vishal Khera,Arya Samaj Bhajans Shlokas Mantras,Vishal Khera,16-09-2016,2016,1,13,71028,71.028,1.1838,FALSE,7,mantra,0.693,0.581,3,-3.01,1,0.0342,0.318,0,0.0958,0.631,158.187,4,Hindi
Shanti Paath Universal Peace Prayer,Vishal Khera,Arya Samaj Bhajans Shlokas Mantras,Vishal Khera,16-09-2016,2016,1,14,64915,64.915,1.081916667,FALSE,12,mantra,0.51,0.254,7,-9.12,0,0.0363,0.884,9.40E-05,0.14,0.355,113.219,4,Hindi
Jai Krishna Hare Jai Ram Hare,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,1,1,340846,340.846,5.680766667,FALSE,2,mantra,0.483,0.836,3,-1.947,1,0.0338,0.406,0,0.115,0.579,99.962,4,Hindi
Jai Siya Ram,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,1,5,380474,380.474,6.341233333,FALSE,6,mantra,0.511,0.804,8,-2.526,1,0.0266,0.446,0,0.0938,0.73,93.973,4,Hindi
Prabhuji Sukh Ka Sagar Hain,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,1,6,401476,401.476,6.691266667,FALSE,3,mantra,0.455,0.653,3,-4.826,1,0.0361,0.778,1.18E-05,0.0699,0.576,180.017,4,Hindi
Ganpati Bapa Moria,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,2,1,420546,420.546,7.0091,FALSE,4,mantra,0.442,0.789,5,-3.815,0,0.0321,0.14,0,0.356,0.397,91.888,4,Hindi
Aaj Mil Sab Geet Gao Radhe Krishan,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,2,2,552543,552.543,9.20905,FALSE,2,mantra,0.271,0.835,8,-2.729,0,0.0329,0.119,0,0.327,0.392,82.284,4,Hindi
Jai Sheran Waliye Ma,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,2,4,380448,380.448,6.3408,FALSE,6,mantra,0.494,0.808,8,-2.414,1,0.0281,0.429,0,0.105,0.674,94.046,4,Hindi
Jo Nar Dukh Mein Dukh Nahin Mane Shabad,Vishal Khera,Divine Bhajans & Prayers: Sanatan Dharam Arya Samaj Shabad Kirtan Sai,Vishal Khera,12-03-2015,2015,2,7,513516,513.516,8.5586,FALSE,3,mantra,0.61,0.708,0,-4.131,1,0.0297,0.441,0.000336,0.0765,0.66,71.797,4,Hindi
O Mata Bhavani,Lata Mangeshkar,Jay Vejay (Original Motion Picture Soundtrack),Rajesh Roshan,15-04-1977,1977,1,6,284506,284.506,4.741766667,FALSE,0,"classic bollywood,desi pop,filmi",0.455,0.318,4,-11.849,1,0.0323,0.917,9.20E-05,0.0513,0.493,98.06,4,Hindi
