Track_Name,Artist_Name,Album_Name,Album_Artist_Name,Album_Release_Date,Album_Release_Year,Disc_Number,Track_Number,Track_Duration_Milliseconds,Track_Duration_Seconds,Track_Duration_Minutes,Explicit,Popularity,Artist_Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Language
Kamodini Kay Jane To Parimal,Lata Mangeshkar,Lokpriya Abhanga,"Bhimsen Joshi, Lata Mangeshkar",14-08-1965,1965,1,2,189133,189.133,3.152216667,FALSE,4,"classic bollywood,desi pop,filmi",0.342,0.578,2,-9.421,1,0.0389,0.626,0,0.237,0.666,94.93,4,Marathi
Khel Mandiyela,Anuradha Paudwal,Sunder Te Dhyan,"Anuradha Paudwal, Bhimsen Joshi",02-01-1995,1995,1,10,211080,211.08,3.518,FALSE,7,"bhajan,classic bollywood,desi pop,filmi,ghazal,modern bollywood",0.585,0.767,1,-7.469,1,0.0579,0.63,0,0.126,0.866,105.276,4,Marathi
Avachita Parimalu,Lata Mangeshkar,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,1961,1,4,238720,238.72,3.978666667,FALSE,6,"classic bollywood,desi pop,filmi",0.363,0.24,0,-13.891,0,0.0319,0.89,0,0.27,0.455,128.868,4,Marathi
Ranga Yei Vo,Lata Mangeshkar,Dnyaneshwar Mauli,Lata Mangeshkar,01-02-1961,1961,1,5,239400,239.4,3.99,FALSE,4,"classic bollywood,desi pop,filmi",0.252,0.522,7,-7.571,1,0.0347,0.882,0,0.308,0.541,203.342,3,Marathi
Uth Pandharichya Raya,Prasad Sawkar,Sant Gora Kumbhar (Original Motion Picture Soundtrack),Sudhir Phadke,31-12-1967,1967,1,3,177800,177.8,2.963333333,FALSE,5,"hindustani vocal,indian classical,marathi traditional",0.434,0.265,5,-18.025,0,0.058,0.995,0.87,0.218,0.608,131.532,4,Marathi
Sanga Mukund Kuni,"Asha Bhosle, Panditrao Nagarkar",Amar Bhoopali (Original Motion Picture Soundtrack),Vasant Desai,01-12-1951,1951,1,11,194440,194.44,3.240666667,FALSE,2,"chutney,classic bollywood,desi pop,filmi,sufi",0.482,0.289,3,-14.656,1,0.0641,0.985,0.00997,0.493,0.521,132.792,4,Marathi
"Sukhakarta Dukhaharta, Shendur Lal Chadhayo, Ghalin Lotangan",Shankar Mahadevan,Mahaganapati,Various Artists,26-08-2016,2016,1,12,364456,364.456,6.074266667,FALSE,32,"desi hip hop,desi pop,filmi,modern bollywood",0.507,0.68,6,-6.959,1,0.0294,0.42,0,0.215,0.771,95.044,3,Marathi
Aarati Dnyanaraja,"Kashinath Gorule, Naresh Ranade, Swapnil Sawant, Arjun Patil",Non Stop Aarati Mazya Ganarayachi,Various Artists,08-09-2014,2014,1,12,113129,113.129,1.885483333,FALSE,11,Unknown,0.563,0.737,1,-6.724,0,0.0345,0.549,0,0.355,0.772,105.599,4,Marathi
Aarti Tukarama,Kalyani S,Aarti Sangrah Marathi,"Kalyani S, Pramila Jain",03-04-2010,2010,1,3,126850,126.85,2.114166667,FALSE,0,Unknown,0.739,0.578,3,-9.348,1,0.0655,0.183,0,0.483,0.871,109.856,4,Marathi
Trigunatmak Trimurti Datta Ha Jana,Sadhana Sargam,Aarti Sangrah (Sukhkarta Dukhharta),Various Artists,2015,2015,1,4,118204,118.204,1.970066667,FALSE,12,"classic bollywood,filmi,modern bollywood,tamil pop",0.649,0.675,1,-3.109,1,0.0436,0.554,0,0.0552,0.891,184.758,3,Marathi
